id,topic,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation,,,,,,,,,,,,,
4794,Algorithms,hard,What is a 'randomized algorithm'?,An algorithm that produces a random output.,An algorithm that uses a degree of randomness as part of its logic or procedure.,An algorithm that is not guaranteed to be correct.,An algorithm with unpredictable performance.,b,"Randomized algorithms, like some versions of Quick Sort, often use randomness to achieve good performance on average, regardless of the input data pattern.",,,,,,,,,,,,,
4795,Machine Learning,hard,What is 'Ensemble Learning'?,A technique that uses only one model.,A method where multiple learning algorithms are used in combination to obtain better predictive performance.,A type of unsupervised learning.,A method for cleaning data.,b,"Ensemble methods, like Random Forests and Gradient Boosting, are based on the idea that a committee of models is often better than a single expert model.",,,,,,,,,,,,,
4796,Operating Systems,hard,What is a 'race condition'?,When two processes are racing to finish first.,"An undesirable situation that occurs when a device or system attempts to perform two or more operations at the same time, but because of the nature of the device or system, the operations must be done in the proper sequence to be done correctly.",A hardware failure.,A type of security attack.,b,Race conditions can lead to unpredictable behavior and bugs that are hard to reproduce. They are typically prevented using synchronization mechanisms like mutexes or semaphores.,,,,,,,,,,,,,
4797,Networking,hard,Explain how 'routing' works on the internet.,Data is sent directly from the source to the destination.,"Data is broadcast to all computers, and the destination picks it up.","Data is broken into packets, and routers forward these packets from network to network based on their destination IP address until they reach the final destination.",All data goes through a central server.,c,Routers use routing tables and routing protocols (like BGP and OSPF) to determine the best path for forwarding packets through the complex web of interconnected networks that make up the internet.,,,,,,,,,,,,,
4798,Web Development,hard,What is the purpose of `async` and `await` in JavaScript?,To make code run slower.,To provide a more synchronous-looking syntax for writing asynchronous code.,They are used for styling.,To declare variables.,b,`async/await` is syntactic sugar built on top of Promises. It makes asynchronous code easier to write and read by avoiding 'callback hell' or long `.then()` chains.,,,,,,,,,,,,,
4799,Python,easy,What is the output of `bool(0)`?,0,TRUE,None,FALSE,d,"In Python, the number 0 is considered 'falsy', so converting it to a boolean results in `False`. All other numbers are 'truthy'.",,,,,,,,,,,,,
4800,SQL,easy,Which statement is used to delete rows from a table?,REMOVE,ERASE,DELETE,DROP,c,"The `DELETE` statement is used to remove one or more rows from a table, typically with a `WHERE` clause to specify which rows.",,,,,,,,,,,,,
4801,Data Structures,easy,What is the term for a node that has no children?,Root,Parent,Internal Node,Leaf,d,A leaf node is a node at the end of a tree branch that does not have any child nodes.,,,,,,,,,,,,,
4802,Algorithms,easy,An algorithm's efficiency is often measured by its:,Number of lines of code,Time complexity and space complexity,Ease of implementation,Programming language,b,Time complexity (how long it takes to run) and space complexity (how much memory it uses) are the primary measures of an algorithm's efficiency.,,,,,,,,,,,,,
4803,Machine Learning,easy,"In machine learning, what is a 'label'?",A feature of the data.,The output or 'answer' that a supervised learning model is trained to predict.,An incorrect prediction.,The algorithm used.,b,"In supervised learning, the label is the correct output value that is paired with an input sample in the training data.",,,,,,,,,,,,,
4804,Operating Systems,easy,What is the function of an operating system's file system?,To manage CPU tasks.,To manage memory.,To store and organize files on a storage device.,To run applications.,c,"The file system controls how data is stored and retrieved, managing files, folders, and the directory structure.",,,,,,,,,,,,,
4805,Networking,easy,What does HTTP stand for?,HyperText Transfer Protocol,High Transfer Text Protocol,HyperText Transmission Protocol,High Transmission Text Protocol,a,"HTTP is the foundation of data communication for the World Wide Web, defining how messages are formatted and transmitted.",,,,,,,,,,,,,
4806,Web Development,easy,What is the purpose of the `<h1>` tag in HTML?,To create a hyperlink.,To define the most important heading.,To insert an image.,To create a horizontal rule.,b,"HTML provides six levels of heading tags, from `<h1>` (the most important) to `<h6>` (the least important).",,,,,,,,,,,,,
4807,Python,medium,What will the `zip()` function do with two lists of different lengths?,It will raise an error.,It will stop when the shorter list is exhausted.,It will fill the missing values with `None`.,It will repeat the elements of the shorter list.,b,The `zip()` function creates an iterator that aggregates elements from each of the iterables. The iterator stops when the shortest input iterable is exhausted.,,,,,,,,,,,,,
4808,SQL,medium,What is a `FOREIGN KEY`?,A key that is not unique.,A key used to uniquely identify a row.,A key used to link two tables together.,A primary key from another country's database.,c,"A FOREIGN KEY in one table points to a PRIMARY KEY in another table, creating a referential link and enforcing data integrity between the tables.",,,,,,,,,,,,,
4809,Data Structures,medium,What is a 'binary search tree' (BST)?,A tree where each node can have at most two children.,A sorted binary tree where the left child is less than the parent and the right child is greater.,A tree that is always balanced.,A tree used for storing binary data.,b,"The ordering property of a BST (left < parent < right) makes searching for elements very efficient, with an average time complexity of O(log n).",,,,,,,,,,,,,
