id,topic,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation
2686,Machine Learning,medium,What is the main use of dropout in neural networks?,Reduce training speed,Reduce model accuracy,Prevent overfitting,Increase feature importance,c,"Dropout randomly deactivates neurons during training, preventing dependency on specific neurons and reducing overfitting."
2723,Cybersecurity,easy,What does HTTPS ensure?,Faster browsing,Data encryption,Open connections,Less storage,b,HTTPS ensures encrypted and secure communication using SSLTLS.
2745,SQL,easy,Which command is used to remove a database?,REMOVE DATABASE,DROP DATABASE,DELETE DATABASE,CLEAR DATABASE,b,The DROP DATABASE command deletes a database permanently.
2783,Cloud Computing,hard,Which concept eliminates server management?,IaaS,PaaS,Serverless,FaaS,c,Serverless abstracts server management and runs code events.
2802,Computer Networks,medium,Which TCP flag initiates a connection?,FIN,ACK,SYN,PSH,c,The SYN flag is used to initiate a TCP connection part of 3-way handshake.
2807,Python,medium,What is the scope of a variable declared inside a function?,Global,Local,Static,Global and Local,b,A variable inside a function has local scope by default.
2823,Data Science,medium,What is feature selection?,Choosing best features for model,Scaling features to range,Encoding categorical values,Reducing target size,a,Feature selection picks the most relevant predictors for a model.
2858,Python,hard,What is the purpose of the args and kwargs syntax in function definitions?,To pass a list and a dictionary as arguments,To pass an arbitrary number of positional and keyword arguments,To unpack a list and a dictionary,To force a function to use keyword arguments,b,"The args syntax allows a function to accept an arbitrary number of positional arguments as a tuple, while kwargs allows it to accept an arbitrary number of keyword arguments as a dictionary."
2895,Data Structures,hard,What is amortized time complexity of union operation in Union-Find with path compression?,On,Olog n,On,O1,c,"Union-Find with path compression and union by rank has very low amortized complexity On, inverse Ackermann function."
2930,Python,medium,What is the output of set1,2,2,3?,1,2,2
2935,Software Engineering,medium,Which model uses V-shape for verification and validation?,Agile,Scrum,V-Model,Spiral,c,V-model emphasizes testing at each development stage.
2942,Cybersecurity,hard,Which cryptographic algorithm is widely used for digital signatures?,AES,RSA,SHA-1,MD5,b,RSA is used for secure digital signatures in encryption systems.
2970,Logic Design,medium,What is the primary function of a Full Adder circuit?,To add two single-bit numbers,To add three single-bit numbers,To subtract two single-bit numbers,To multiply two single-bit numbers,b,A Full Adder is a combinational logic circuit that performs the addition of three input bits two operand bits and a carry-in bit and produces a sum and a carry-out bit.
2988,Artificial Intelligence,easy,Which algorithm expands nodes level by level?,DFS,BFS,A,Greedy,b,BFS expands nodes by levels.
3066,Python,easy,Which operator is used for floor division?,,,,,b, performs integer or floor division in Python.
3069,Database Management,hard,"What is ""database sharding""?",The process of creating a full backup of a database,The process of replicating a database to multiple servers,The process of horizontally partitioning a database into multiple smaller databases,The process of optimizing database queries,c,"Sharding is a method of horizontally partitioning a database, meaning it divides a very large database into smaller, more manageable parts called shards. Each shard is an independent database, often on a separate server, to distribute the load."
3167,Python,medium,"What is the output of printbool""False""?",FALSE,TRUE,Error,None,b,Non-empty strings are True in Python regardless of content.
3169,Algorithms,medium,What is the time complexity of binary search in the worst-case scenario?,O1,On,Olog n,On log n,c,"Binary search always halves the search space at each step, even in the worst case. Therefore, its time complexity remains logarithmic, Olog n."
3186,Python,easy,Which keyword is used to define a class in Python?,class,def,object,type,a,The 'class' keyword is used to define a Python class.
3307,Python,medium,What is the difference between deepcopy and copy in Python?,Both create independent copies,copy creates a shallow copy,while deepcopy creates a full independent copy,deepcopy is faster than copy,they are identical,B
3506,Operating Systems,easy,What is a zombie process?,A process that is still running but not responsive,A process that has finished execution but its entry remains in the process table,A process that is waiting for an IO operation,A process that is consuming too much CPU,b,"A zombie process is a process that has completed its execution but still has an entry in the process table. Its parent process has not yet read its exit status, causing it to remain in this state."
3531,Cloud Computing,easy,Which cloud model provides shared resources?,Private,Public,Distributed,Hybrid,b,Public cloud provides shared scalable resources to multiple clients.
3546,Computer Networks,easy,What does DNS primarily resolve?,IP to MAC,MAC to IP,Domain to IP,IP to Domain,c,DNS resolves human-readable domain names into IP addresses.
3581,Python,medium,What is the difference between tuple and list in Python?,Tuple is mutable; List is immutable,List is mutable; Tuple is immutable,Both mutable,Both immutable,b,"Lists are mutable, while Tuples are immutable in Python."
3663,Logic Design,hard,What is the canonical form of a Boolean expression?,The simplest form of the expression,A sum of minterms or a product of maxterms,A form that is easy to implement in hardware,A form that is logically equivalent to the original expression,b,"The canonical form of a Boolean expression is a standardized form that is a sum of minterms SOP or a product of maxterms POS. This form is unique for each expression, making it useful for comparisons and conversions."
3665,Cybersecurity,medium,Which encryption mode ensures unique ciphertext for identical plaintext?,ECB,CBC,OFB,CTR,b,Cipher Block Chaining ensures different ciphertexts for identical plaintext input blocks.
3700,Cybersecurity,hard,What encryption is used in blockchain?,AES,DES,SHA-256,RSA,c,Blockchain commonly uses SHA-256 for cryptographic hashing.
3742,Data Structures,easy,Which data structure is used to implement recursion in most programming languages?,Queue,Stack,Array,Graph,b,Recursion uses the call stack to keep track of function calls.
3818,Logic Design,easy,Which gate is universal?,XOR,OR,NOR,NAND,d,NAND gate can build all logic circuits.
3831,Computer Networks,easy,Which device repeats but doesnt filter traffic?,Router,Hub,Switch,Firewall,b,Hub forwards all traffic blindly.
3865,Machine Learning,easy,Which ML task involves predicting continuous values?,Classification,Regression,Clustering,Dimensionality reduction,b,"Regression predicts continuous values like salary, temperature, etc."
3876,SQL,medium,How to remove duplicate rows in SQL output?,UNIQUE,DISTINCT,RANK,GROUP,b,DISTINCT ensures unique rows in result sets.
3916,Operating Systems,medium,What happens when a process is blocked?,It enters running state,It enters waiting state,It terminates,It becomes zombie,b,Blocked processes wait for IO or events before resuming execution.
4023,Python,medium,What is difference between tuple and list?,Tuple mutable,Tuple allows append,List immutable,List mutable,tuple is immutable,D
4059,Algorithms,easy,Which algorithm is used in minimum spanning tree?,Prims,Dijkstra,BFS,DFS,a,Prims is one MST algorithm.
4154,Data Structures,medium,What is the maximum number of children a node can have in a binary tree?,1,2,3,Unlimited,b,"By definition, a binary tree node has at most 2 children."
4291,Deep Learning,easy,Which activation function outputs values between 0 and 1?,ReLU,Sigmoid,Tanh,Softplus,b,"Sigmoid compresses values into range 0,1."
4382,Computer Networks,easy,Which device connects multiple networks together?,Switch,Router,Hub,Bridge,b,A router connects multiple networks and forwards packets based on IP addresses.
